date,close,volume
2024-08-19,98.78,2796774324.22
2024-08-20,99.47,3234572657.34
2024-08-21,100.19,2470268210.13
2024-08-22,96.64,4601992565.32
2024-08-23,96.47,4352410309.82
2024-08-26,99.09,2768641055.25
2024-08-27,96.88,2331013435.72
2024-08-28,97.02,2249356505.64
2024-08-29,96.02,1882619010.12
2024-08-30,91.48,3900901447.63
2024-09-02,86.1,5514910782.36
2024-09-03,86.23,4721901380.14
2024-09-04,89.03,3014753438.19
2024-09-05,87.2,3188132043.19
2024-09-06,87.3,1940287777.32
2024-09-09,90.9,2755937870.45
2024-09-10,88.89,2566723030.62
2024-09-11,87.2,1944940036.03
2024-09-12,86.2,2517923394.59
2024-09-13,87.14,4226755608.32
2024-09-16,88.62,2632045880.84
2024-09-17,90.1,1826935002.35
2024-09-18,87.93,2154574653.7
2024-09-19,88.53,1795057571.5
2024-09-20,89.35,1803224390.62
2024-09-23,91.96,3283218564.34
2024-09-24,92.65,3362836623.77
2024-09-25,90.83,4401511393.1
2024-09-26,90.76,2159972084.19
2024-09-27,90.57,1741990037.23
2024-09-30,89.03,2234031396.88
2024-10-01,87.52,3328573626.32
2024-10-02,86.16,2180814649.97
2024-10-03,87.23,2765774572.34
2024-10-04,86.63,1373108218.03
2024-10-07,86.43,1489515271.41
2024-10-08,85.85,1205015482.51
2024-10-09,89.79,3337770644.93
2024-10-10,86.16,5587584824.76
2024-10-11,85.61,1474661084.92
2024-10-14,86.7,2758107406.45
2024-10-15,86.67,1546621572.17
2024-10-16,85.82,2041287128.8
2024-10-17,85.09,1284131430.34
2024-10-18,84.84,2323678690.77
2024-10-21,84.71,1039564991.49
2024-10-22,83.58,1416430990.18
2024-10-23,82.22,3281632138.71
2024-10-24,82.64,1728228329.69
2024-10-25,79.89,3681578346.11
2024-10-28,76.2,3993908248.01
2024-10-29,77.45,2556315810.17
2024-10-30,76.19,2141854946.01
2024-10-31,75.25,2005659632.56
2024-11-01,76.62,1611569092.12
2024-11-02,77.12,759160490.45
2024-11-05,77.38,1217856343.32
2024-11-06,78.32,3097160838.6
2024-11-07,79.1,3288853055.14
2024-11-08,80.2,3535519954.44
2024-11-11,81.58,3869620874.51
2024-11-12,80.68,1753491419.26
2024-11-13,79.41,1862626922.73
2024-11-14,79.19,1641823902.4
