date,close,volume
2026-06-22,16.562,16244351.32
2026-06-23,16.542,11510109.14
2026-06-24,16.598,5439190.2
2026-06-25,16.502,3111112.43
2026-06-26,16.484,5832938.02
2026-06-29,16.484,4558556.92
2026-06-30,16.518,4951037.35
2026-07-01,16.61,1770403.11
2026-07-02,16.596,2473656.82
2026-07-03,16.514,2706500.15
2026-07-06,16.5,2891725.08
2026-07-07,16.43,2685795.18
2026-07-08,16.476,2013359.38
2026-07-09,16.45,1564430.17
2026-07-10,16.436,7845239.14
2026-07-13,16.468,1019780.38
2026-07-14,16.47,7765749.85
2026-07-15,16.444,10236470.69
2026-07-16,16.348,10882707.87
2026-07-17,16.368,1697399.99
2026-07-20,16.366,7008517.16
2026-07-21,16.464,5824961.37
2026-07-22,16.538,17729692.74
2026-07-23,16.546,2155587.08
2026-07-24,16.638,3879934.35
2026-07-27,16.782,4518417.96
2026-07-28,16.836,1766459.23
2026-07-29,16.774,1655604.86
2026-07-30,16.848,1410189.68
2026-07-31,16.822,1583210.04
2026-08-03,16.906,4572787.04
2026-08-04,16.932,3132097.3
2026-08-05,16.996,6994995.89
2026-08-06,17.058,4313405.23
2026-08-07,17.076,6256227.93
2026-08-10,17.086,3822318.34
2026-08-11,17.096,19686427.92
2026-08-12,17.1,2335606.46
2026-08-13,17.086,5587013.93
2026-08-14,16.976,6064266.16
2026-08-17,16.928,4828754.22
2026-08-18,16.946,2419054.98
2026-08-19,16.958,1100954.04
2026-08-20,16.978,5066419.06
2026-08-21,16.98,1772998.92
2026-08-24,16.962,1818732.98
2026-08-25,16.9,3624961.65
2026-08-26,16.844,4567374.81
2026-08-27,16.864,17761957.62
