date,close,volume
2026-06-22,13.509,2759490.83
2026-06-23,13.549,609986.91
2026-06-24,13.52,2073664.32
2026-06-25,13.513,725655.93
2026-06-26,13.523,731491.62
2026-06-29,13.695,5758681.92
2026-06-30,13.496,322991.4
2026-07-01,13.582,1354333.86
2026-07-02,13.57,5503876.18
2026-07-03,13.561,41050245.52
2026-07-06,13.443,1054294.09
2026-07-07,13.639,1068066.9
2026-07-08,13.7,8668701.64
2026-07-09,13.581,110644.21
2026-07-10,13.421,5047119.8
2026-07-13,13.498,170503.54
2026-07-14,13.575,5755948.06
2026-07-15,13.423,2392023.78
2026-07-16,13.56,463287.34
2026-07-17,13.513,258445.96
2026-07-20,13.773,5438594.61
2026-07-21,13.573,1845294.42
2026-07-22,13.74,2023622.05
2026-07-23,13.632,4665131.34
2026-07-24,13.767,1304646.93
2026-07-27,13.621,1006977.73
2026-07-28,13.707,109367.51
2026-07-29,13.74,5492135.48
2026-07-30,13.683,258870.68
2026-07-31,13.649,38558.42
2026-08-03,13.658,232156.14
2026-08-04,13.75,776371.89
2026-08-05,13.72,1684244.22
2026-08-06,13.696,857954.42
2026-08-07,13.68,6493695.91
2026-08-10,13.762,1908282.18
2026-08-11,13.767,179832.48
2026-08-12,13.702,978282.84
2026-08-13,13.655,7189600.1
2026-08-14,13.663,1300628.35
2026-08-17,13.63,167168.0
2026-08-18,13.821,2323112.41
2026-08-19,13.775,2474954.9
2026-08-20,13.777,3507496.05
2026-08-21,13.809,79458.28
2026-08-24,13.717,5673907.57
