date,close,volume
2026-06-22,69.6,56283985.28
2026-06-23,70.58,51805807.36
2026-06-24,68.5,50975899.76
2026-06-25,67.3,4050487.54
2026-06-26,68.46,51435410.68
2026-06-29,70.5,5822190.68
2026-06-30,68.86,72108701.56
2026-07-01,69.86,50870631.82
2026-07-02,67.46,48273233.92
2026-07-03,66.54,15984823.36
2026-07-06,64.9,31438637.44
2026-07-07,65.34,4883200.62
2026-07-08,65.94,41086266.1
2026-07-09,64.72,42967655.34
2026-07-10,64.64,51203799.8
2026-07-13,65.54,9649072.82
2026-07-14,65.06,1160563.6
2026-07-15,64.08,564866.94
2026-07-16,61.52,6955244.34
2026-07-17,60.34,9158809.28
2026-07-20,62.6,13801314.84
2026-07-21,63.16,10859553.24
2026-07-22,65.56,3325133.76
2026-07-23,66.38,5130354.22
2026-07-24,67.38,8312213.8
2026-07-27,68.04,1591934.02
2026-07-28,68.76,244380.3
2026-07-29,70.22,1639856.88
2026-07-30,68.98,24632992.06
2026-07-31,69.86,4358284.3
2026-08-03,71.42,1073047.74
2026-08-04,71.66,3615453.74
2026-08-05,72.16,30784318.68
2026-08-06,72.44,1343074.18
2026-08-07,70.86,823577.94
2026-08-10,72.38,1844928.96
2026-08-11,73.0,2106083.12
2026-08-12,71.66,1977477.28
2026-08-13,70.0,41647630.1
2026-08-14,68.32,4464628.08
2026-08-17,66.1,4590786.32
2026-08-18,68.5,5677742.16
2026-08-19,69.14,488934.4
2026-08-20,67.3,25459075.82
2026-08-21,68.28,4064112.36
2026-08-24,65.4,34946395.78
2026-08-25,66.68,34672279.86
2026-08-26,65.68,25390982.48
2026-08-27,66.82,25403507.22
2026-08-28,67.06,26049817.2
2026-08-31,68.58,26780707.64
2026-09-01,68.68,30951450.26
2026-09-02,68.26,25246212.64
