date,close,volume
2026-06-24,98.0,35529139.52
2026-06-25,92.96,20296539.86
2026-06-26,99.0,228574689.0
2026-06-29,98.0,9769527.54
2026-06-30,94.4,6862352.04
2026-07-01,90.0,5234355.96
2026-07-02,88.76,3609884.38
2026-07-03,84.5,3942271.84
2026-07-06,82.0,5781592.46
2026-07-07,76.1,3173267.66
2026-07-08,83.0,4580894.28
2026-07-09,79.98,2867291.06
2026-07-10,80.4,1321984.42
2026-07-13,73.6,13410507.26
2026-07-14,70.0,10042047.1
2026-07-15,69.62,451918.28
2026-07-16,63.92,3875224.88
2026-07-17,63.8,1777251.6
2026-07-20,64.08,1558185.26
2026-07-21,63.34,2670510.3
2026-07-22,64.0,1961740.36
2026-07-23,64.48,11477109.22
2026-07-24,72.98,23670848.32
2026-07-27,72.3,11529807.1
2026-07-28,71.5,1637385.04
2026-07-29,72.14,750894.7
2026-07-30,72.0,732208.24
2026-07-31,72.08,434441.56
2026-08-03,71.42,1189148.52
2026-08-04,70.56,1689971.06
2026-08-05,68.9,3280356.34
2026-08-06,67.58,2417315.12
2026-08-07,66.94,1067692.92
2026-08-10,67.44,2202125.32
2026-08-11,67.2,3131406.66
2026-08-12,66.8,1568309.96
2026-08-13,62.78,3812959.94
2026-08-14,63.66,1889820.94
2026-08-17,66.2,952200.36
2026-08-18,66.98,1405986.34
2026-08-19,66.98,216245.8
2026-08-20,67.04,587050.2
2026-08-21,65.0,4525194.08
2026-08-24,64.28,1122154.22
2026-08-25,63.14,1843276.34
2026-08-26,62.04,457962.46
2026-08-27,63.68,8043819.18
2026-08-28,65.12,1746814.56
2026-08-31,63.36,1257123.76
