date,close,volume
2026-06-22,101.52,443379663.29
2026-06-23,101.86,395675623.65
2026-06-24,101.79,233558770.37
2026-06-25,101.81,285759679.3
2026-06-26,101.75,307983049.99
2026-06-29,101.95,556596786.99
2026-06-30,101.27,601094209.61
2026-07-01,101.3,289236882.28
2026-07-02,101.37,291074811.7
2026-07-03,101.37,223032017.37
2026-07-06,101.5,334176978.22
2026-07-07,101.22,213023024.22
2026-07-08,101.19,254168824.62
2026-07-09,101.25,300904206.59
2026-07-10,101.45,259304189.86
2026-07-13,101.44,355053685.23
2026-07-14,101.45,181959724.03
2026-07-15,101.52,195940975.28
2026-07-16,101.39,291436989.51
2026-07-17,101.21,213356695.03
2026-07-20,101.12,527082220.43
2026-07-21,101.41,235649785.91
2026-07-22,101.49,222237708.74
2026-07-23,101.58,220555431.19
2026-07-24,102.09,311724743.18
2026-07-27,102.34,461887004.24
2026-07-28,102.42,253429904.0
2026-07-29,102.44,310750999.31
2026-07-30,102.66,430333838.94
2026-07-31,101.39,873835143.97
2026-08-03,101.62,437629669.21
2026-08-04,101.7,344402945.68
2026-08-05,101.73,353851515.25
2026-08-06,101.72,214553819.65
2026-08-07,101.76,250434442.5
2026-08-10,101.86,601519446.96
2026-08-11,101.88,378816685.65
2026-08-12,102.14,336297069.21
2026-08-13,102.11,397224625.3
2026-08-14,102.16,252081262.58
2026-08-17,102.04,294998131.55
2026-08-18,102.22,285932388.62
2026-08-19,102.14,194957141.8
2026-08-20,102.15,194609864.3
2026-08-21,102.14,196557770.49
2026-08-24,102.12,390234077.76
2026-08-25,102.26,270866503.67
2026-08-26,102.31,196669351.33
2026-08-27,102.4,250594121.21
2026-08-28,102.33,271228293.41
2026-08-31,101.56,915285420.03
2026-09-01,101.45,379520798.74
2026-09-02,101.62,225111802.15
