date,close,volume
2026-06-22,15.4,41183336.5
2026-06-23,15.369,41760099.48
2026-06-24,15.411,16430054.81
2026-06-25,15.172,35128117.02
2026-06-26,15.076,48522867.21
2026-06-29,15.147,48842821.2
2026-06-30,15.149,26076282.5
2026-07-01,15.09,10370005.96
2026-07-02,15.024,14501556.04
2026-07-03,14.926,259292282.48
2026-07-06,14.94,66995632.45
2026-07-07,14.853,108130738.65
2026-07-08,15.044,22301712.66
2026-07-09,15.147,8257675.27
2026-07-10,15.129,26686629.21
2026-07-13,15.058,5004955.06
2026-07-14,15.052,25158595.25
2026-07-15,14.991,3279919.53
2026-07-16,14.877,16983578.22
2026-07-17,14.831,29310146.48
2026-07-20,14.797,32416836.17
2026-07-21,15.017,5613579.92
2026-07-22,15.059,11453862.79
2026-07-23,15.073,5211480.06
2026-07-24,15.341,27965226.35
2026-07-27,15.348,15028133.55
2026-07-28,15.371,19457187.58
2026-07-29,15.428,9505051.37
2026-07-30,15.523,14493930.16
2026-07-31,15.441,8701637.65
2026-08-03,15.428,29260414.34
2026-08-04,15.471,27607961.03
2026-08-05,15.52,5372829.03
2026-08-06,15.528,6213012.29
2026-08-07,15.491,20955643.69
2026-08-10,15.518,49191888.48
2026-08-11,15.563,22106484.54
2026-08-12,15.554,5863691.25
2026-08-13,15.471,4582335.45
2026-08-14,15.423,20882813.35
2026-08-17,15.274,17953454.58
2026-08-18,15.376,37770342.06
2026-08-19,15.373,5018125.01
2026-08-20,15.351,27662006.98
2026-08-21,15.378,3270432.93
2026-08-24,15.281,13897848.54
2026-08-25,15.357,16495407.92
2026-08-26,15.354,33240184.92
2026-08-27,15.35,9182884.53
2026-08-28,15.334,14795320.86
2026-08-31,15.417,9477212.9
2026-09-01,15.416,34195791.3
2026-09-02,15.418,9927099.65
