date,close,volume
2024-09-18,3.8,614593.0
2024-09-19,3.86,202407.0
2024-09-20,3.82,541115.0
2024-09-23,3.85,588257.0
2024-09-24,3.96,2076948.0
2024-09-25,3.92,454782.0
2024-09-26,3.85,827148.0
2024-09-27,3.86,181108.0
2024-09-30,3.78,1303930.0
2024-10-01,3.68,519756.0
2024-10-02,3.6,515354.0
2024-10-03,3.63,618937.0
2024-10-04,3.53,1201747.0
2024-10-07,3.55,285012.0
2024-10-08,3.54,334078.0
2024-10-09,3.54,622067.0
2024-10-10,3.53,655212.0
2024-10-11,3.54,428360.0
2024-10-14,3.52,657073.0
2024-10-15,3.52,482686.0
2024-10-16,3.61,1730729.0
2024-10-17,3.58,190315.0
2024-10-18,3.56,600929.0
2024-10-21,3.54,243702.0
2024-10-22,3.55,206989.0
2024-10-23,3.5,455119.0
2024-10-24,3.47,201533.0
2024-10-25,3.43,175266.0
2024-10-28,3.37,1424738.0
2024-10-29,3.36,987926.0
2024-10-30,3.46,922867.0
2024-10-31,3.35,1273017.0
2024-11-01,3.3,243769.0
2024-11-02,3.35,35474.0
2024-11-05,3.24,1070758.0
2024-11-06,3.28,549666.0
2024-11-07,3.32,269844.0
2024-11-08,3.4,266686.0
2024-11-11,3.48,1060804.0
2024-11-12,3.49,222886.0
2024-11-13,3.55,228115.0
2024-11-14,3.45,426287.0
2024-11-15,3.48,237625.0
2024-11-18,3.42,311483.0
2024-11-19,3.3,536347.0
2024-11-20,3.3,425134.0
2024-11-21,3.3,259928.0
2024-11-22,3.27,70122.0
2024-11-25,3.16,483098.0
2024-11-26,3.0,2023321.0
2024-11-27,2.88,616600.0
2024-11-28,2.94,1070211.0
2024-11-29,2.95,599593.0
2024-12-02,3.0,744578.0
2024-12-03,2.88,407767.0
2024-12-04,2.92,228975.0
2024-12-05,2.97,239577.0
2024-12-06,2.97,76060.0
2024-12-09,3.0,573855.0
2024-12-10,2.98,154756.0
2024-12-11,2.88,461957.0
2024-12-12,2.87,912842.0
2024-12-13,2.81,325725.0
2024-12-16,2.76,454195.0
2024-12-17,2.79,83943.0
2024-12-18,2.92,637435.0
2024-12-19,2.82,366058.0
2024-12-20,2.9,2362753.0
2024-12-23,2.98,1722697.0
2024-12-24,2.96,715316.0
2024-12-25,2.98,1486685.0
2024-12-26,3.0,354478.0
2024-12-27,3.0,409066.0
2024-12-28,3.01,783838.0
2024-12-30,3.06,604739.0
2025-01-03,3.04,525968.0
2025-01-06,3.07,934607.0
2025-01-08,3.32,3584014.0
2025-01-09,3.26,505662.0
2025-01-10,3.28,759122.0
2025-01-13,3.23,1023652.0
2025-01-14,3.14,3792933.0
2025-01-15,3.21,2084712.0
2025-01-16,3.28,1813850.0
2025-01-17,3.35,2325933.0
2025-01-20,3.32,2725341.0
2025-01-21,3.59,9218304.0
2025-01-22,3.61,4598922.0
2025-01-23,3.71,3693372.0
2025-01-24,3.68,1273850.0
2025-01-27,3.58,1188890.0
2025-01-28,3.6,1270354.0
2025-01-29,3.63,1032522.0
2025-01-30,3.67,1159462.0
2025-01-31,3.61,1184563.0
2025-02-03,3.56,1261170.0
2025-02-04,3.53,947011.0
2025-02-05,3.46,878338.0
2025-02-06,3.58,856277.0
2025-02-07,3.58,225009.0
2025-02-10,3.54,1416370.0
2025-02-11,3.47,1402764.0
2025-02-12,3.57,2945205.0
2025-02-13,3.53,2281810.0
2025-02-14,3.57,3169750.0
2025-02-17,3.74,7312976.0
2025-02-18,3.7,683202.0
2025-02-19,3.68,667713.0
2025-02-20,3.69,1447683.0
2025-02-21,3.7,784593.0
2025-02-24,3.71,1262898.0
2025-02-25,3.75,5055960.0
2025-02-26,3.68,1458616.0
2025-02-27,3.61,1410288.0
2025-02-28,3.57,690971.0
2025-03-03,3.56,530327.0
2025-03-04,3.58,1151027.0
2025-03-05,3.81,3216507.0
