date,close,volume
2026-06-22,101.82,9028325.32
2026-06-23,102.94,15127433.07
2026-06-24,102.09,50871358.62
2026-06-25,101.58,26368856.53
2026-06-26,101.61,18219307.35
2026-06-29,101.6,15958732.07
2026-06-30,97.78,4461741.51
2026-07-01,97.7,9869234.77
2026-07-02,97.52,1613847.77
2026-07-03,96.5,5526634.71
2026-07-06,95.79,7728984.45
2026-07-07,96.74,1424457.02
2026-07-08,97.9,15602734.93
2026-07-09,98.32,2941373.67
2026-07-10,97.86,5440919.03
2026-07-13,97.08,4918391.9
2026-07-14,98.25,1174745.88
2026-07-15,97.08,11130849.01
2026-07-16,95.85,4439631.75
2026-07-17,96.49,7249015.77
2026-07-20,97.84,8245806.05
2026-07-21,98.34,16800794.83
2026-07-22,97.94,10336108.86
2026-07-23,98.65,8784172.18
2026-07-24,99.98,10293126.75
2026-07-27,99.58,5366889.98
2026-07-28,99.01,12031565.04
2026-07-29,100.25,5715002.26
2026-07-30,100.38,10530277.46
2026-07-31,99.75,19328288.49
2026-08-03,100.2,10169566.45
2026-08-04,100.54,3848210.48
2026-08-05,100.8,5214590.42
2026-08-06,100.78,10916286.17
2026-08-07,100.25,3827852.54
2026-08-10,100.79,6366762.26
2026-08-11,100.62,4255709.68
2026-08-12,101.26,11905674.44
2026-08-13,100.21,11625603.66
2026-08-14,99.3,13352451.69
2026-08-17,98.8,22800337.51
2026-08-18,99.37,10793909.18
