date,close,volume
2026-06-22,14.125,47337914.11
2026-06-23,14.08,31328240.41
2026-06-24,14.08,22791570.24
2026-06-25,13.955,33236295.74
2026-06-26,13.825,54139527.13
2026-06-29,13.935,33910241.73
2026-06-30,13.96,9186217.93
2026-07-01,13.94,20170046.47
2026-07-02,13.875,10666364.27
2026-07-03,13.77,15341806.09
2026-07-06,13.79,17558425.53
2026-07-07,13.665,24301466.24
2026-07-08,13.82,12424676.14
2026-07-09,13.885,17233746.0
2026-07-10,13.915,36437456.78
2026-07-13,13.83,15869429.4
2026-07-14,13.835,21721007.36
2026-07-15,13.795,23679956.78
2026-07-16,13.685,4229447.43
2026-07-17,13.6,5965427.63
2026-07-20,13.595,15795936.47
2026-07-21,13.785,12305998.6
2026-07-22,13.85,14455102.57
2026-07-23,13.88,703101.92
2026-07-24,14.02,18129315.25
2026-07-27,14.135,22982207.22
2026-07-28,14.165,2380960.24
2026-07-29,14.21,10366250.2
2026-07-30,14.28,31980422.45
2026-07-31,14.245,18197386.64
2026-08-03,14.235,8828201.37
2026-08-04,14.235,6550282.47
2026-08-05,14.315,19607536.24
2026-08-06,14.305,3458111.16
2026-08-07,14.3,12634670.63
2026-08-10,14.315,4140800.94
2026-08-11,14.34,19925818.53
2026-08-12,14.38,18598391.53
2026-08-13,14.305,16476787.71
2026-08-14,14.24,5011090.81
2026-08-17,14.135,4617409.79
2026-08-18,14.18,2972527.2
2026-08-19,14.16,37734358.0
2026-08-20,14.195,2862566.5
2026-08-21,14.16,5051463.26
2026-08-24,14.135,5889366.83
2026-08-25,14.17,4999146.41
2026-08-26,14.17,8418817.63
2026-08-27,14.165,7760701.49
2026-08-28,14.16,9459052.26
2026-08-31,14.225,4095484.2
2026-09-01,14.26,9776371.51
