date,close,volume
2024-08-19,48.435,612324574.9
2024-08-20,47.045,1493067748.8
2024-08-21,46.81,1058851800.25
2024-08-22,45.695,946056947.6
2024-08-23,43.685,2504613534.5
2024-08-26,45.175,1207678786.65
2024-08-27,44.595,739099460.85
2024-08-28,43.585,876860433.0
2024-08-29,44.48,590904063.45
2024-08-30,43.035,632033775.9
2024-09-02,40.84,819695745.6
2024-09-03,41.585,1030530496.75
2024-09-04,42.01,1164939294.15
2024-09-05,42.275,1575461140.55
2024-09-06,42.3,488747890.35
2024-09-09,43.43,691788144.25
2024-09-10,43.68,749051178.85
2024-09-11,42.865,668638532.55
2024-09-12,42.355,379122764.4
2024-09-13,43.72,960703720.75
2024-09-16,44.37,826863255.75
2024-09-17,46.19,986975753.3
2024-09-18,44.765,876306966.65
2024-09-19,44.515,831781827.65
2024-09-20,45.51,620916611.15
2024-09-23,45.315,1109137777.75
2024-09-24,45.115,973005019.55
2024-09-25,44.755,1140088585.95
2024-09-26,44.915,745374883.95
2024-09-27,45.15,479265498.15
2024-09-30,45.015,1474635214.75
2024-10-01,44.84,713600382.7
2024-10-02,43.91,821554100.4
2024-10-03,44.145,1049806054.0
2024-10-04,44.085,502642029.6
2024-10-07,43.825,423948043.9
2024-10-08,43.79,417626956.0
2024-10-09,43.425,526399847.4
2024-10-10,43.435,329527882.55
2024-10-11,43.175,529832623.75
2024-10-14,44.415,1068963300.65
2024-10-15,44.32,767335191.35
2024-10-16,44.28,1185985469.25
2024-10-17,40.655,2915218244.7
2024-10-18,40.545,1292053622.4
2024-10-21,40.235,1033602739.85
2024-10-22,40.12,901456211.45
2024-10-23,39.595,804314224.5
2024-10-24,39.035,1207969557.3
2024-10-25,38.35,1024156641.95
2024-10-28,36.62,1000455288.85
2024-10-29,37.015,1067836914.65
2024-10-30,36.195,815040492.05
2024-10-31,35.66,695418396.75
2024-11-01,36.045,677033421.4
2024-11-02,35.855,287216787.55
2024-11-05,36.535,546664094.25
2024-11-06,37.48,947870503.05
2024-11-07,37.905,717661439.45
2024-11-08,38.325,763308519.5
2024-11-11,38.83,950037085.65
2024-11-12,37.41,696790330.25
2024-11-13,37.81,865364131.1
2024-11-14,37.39,652579941.4
2024-11-15,37.985,460080493.55
2024-11-18,37.25,438393235.35
2024-11-19,35.71,738217082.9
2024-11-20,34.52,1014381884.65
2024-11-21,33.43,2592298273.55
2024-11-22,33.135,891585839.25
2024-11-25,31.95,634672119.85
2024-11-26,32.01,1707428711.45
2024-11-27,32.35,1866512131.65
2024-11-28,33.575,1127200599.15
2024-11-29,32.98,939287654.3
