date,close,volume
2026-06-22,805.0,7630819.0
2026-06-23,819.0,15930606.0
2026-06-24,806.0,6021615.0
2026-06-25,814.0,5965881.0
2026-06-26,829.0,4160242.0
2026-06-29,841.0,5302527.0
2026-06-30,837.0,3370289.0
2026-07-01,828.0,1611562.0
2026-07-02,835.0,376217.0
2026-07-03,836.0,1653781.0
2026-07-06,826.0,3295148.0
2026-07-07,816.0,18718543.0
2026-07-08,822.0,2308409.0
2026-07-09,812.0,2926283.0
2026-07-10,817.0,2899582.0
2026-07-13,826.0,2824003.0
2026-07-14,841.0,6809089.0
2026-07-15,825.0,13524961.0
2026-07-16,831.0,5142042.0
2026-07-17,822.0,11154186.0
2026-07-20,801.0,12429741.0
2026-07-21,804.0,5441177.0
2026-07-22,798.0,5063952.0
2026-07-23,796.0,6886141.0
2026-07-24,794.0,10799082.0
2026-07-27,801.0,2257405.0
2026-07-28,803.0,4740980.0
2026-07-29,815.0,9566340.0
2026-07-30,825.0,5086500.0
2026-07-31,824.0,743941.0
2026-08-03,832.0,2311160.0
2026-08-04,837.0,4114149.0
2026-08-05,827.0,3350799.0
2026-08-06,810.0,18386260.0
2026-08-07,809.0,9144109.0
2026-08-10,809.0,2958453.0
2026-08-11,810.0,10687846.0
2026-08-12,805.0,1699870.0
2026-08-13,806.0,2870461.0
2026-08-14,807.0,3264239.0
2026-08-17,802.0,6094182.0
2026-08-18,799.0,1736401.0
2026-08-19,805.0,2013088.0
2026-08-20,801.0,3445239.0
2026-08-21,800.0,4815878.0
