date,close,volume
2026-06-22,6.501,3025639.69
2026-06-23,6.504,2147129.88
2026-06-24,6.256,1217545.2
2026-06-25,6.215,2831647.0
2026-06-26,6.191,2845880.99
2026-06-29,6.417,1614510.53
2026-06-30,6.448,2357406.33
2026-07-01,6.465,905604.27
2026-07-02,6.287,717325.94
2026-07-03,6.236,2208275.63
2026-07-06,6.099,2685115.29
2026-07-07,6.087,5599807.73
2026-07-08,6.195,3095395.83
2026-07-09,6.091,1323984.94
2026-07-10,5.965,448779.68
2026-07-13,5.95,511579.52
2026-07-14,5.997,386138.43
2026-07-15,5.808,560413.11
2026-07-16,5.611,581244.32
2026-07-17,5.449,1000831.53
2026-07-20,5.772,9884905.91
2026-07-21,6.034,4399113.76
2026-07-22,6.129,6606553.28
2026-07-23,6.093,4779647.95
2026-07-24,6.246,4216496.46
2026-07-27,6.528,6476487.44
2026-07-28,6.434,3309656.64
2026-07-29,6.57,4494131.54
2026-07-30,6.57,9132896.59
2026-07-31,6.649,45617870.15
2026-08-03,6.844,33697031.32
2026-08-04,6.864,21714202.1
2026-08-05,7.008,31699045.99
2026-08-06,6.989,7991190.32
2026-08-07,6.965,44243345.01
2026-08-10,7.051,25797285.22
2026-08-11,7.093,7231232.69
2026-08-12,7.059,15322427.15
2026-08-13,6.837,5957912.18
2026-08-14,6.64,41330122.75
2026-08-17,6.529,2158450.37
2026-08-18,6.811,47694075.07
2026-08-19,6.893,730063.7
2026-08-20,6.692,8098275.27
2026-08-21,6.629,8609160.5
2026-08-24,6.403,3154337.24
